Movie,Year
The Shawshank Redemption,1994
The Godfather,1972
The Dark Knight,2008
The Godfather: Part II,1974
12 Angry Men,1957
Schindler's List,1993
The Lord of the Rings: The Return of the King,2003
Pulp Fiction,1994
The Lord of the Rings: The Fellowship of the Ring,2001
"Il Buono, il brutto, il cattivo.",1966
Forrest Gump,1994
Fight Club,1999
The Lord of the Rings: The Two Towers,2002
Inception,2010
Star Wars: Episode V - The Empire Strikes Back,1980
The Matrix,1999
Goodfellas,1990
One Flew Over the Cuckoo's Nest,1975
Se7en,1995
It's a Wonderful Life,1946
Interstellar,2014
Shichinin no samurai,1954
The Silence of the Lambs,1991
Saving Private Ryan,1998
Cidade de Deus,2002
La Vita è bella,1997
The Green Mile,1999
Star Wars,1977
Terminator 2: Judgment Day,1991
Spider-Man: Across the Spider-Verse,2023
Back to the Future,1985
Sen to Chihiro no kamikakushi,2001
The Pianist,2002
Gisaengchung,2019
Psycho,1960
Gladiator,2000
The Lion King,1994
Léon,1994
The Departed,2006
American History X,1998
Whiplash,2014
The Prestige,2006
Hotaru no haka,1988
Seppuku,1962
The Usual Suspects,1995
Casablanca,1942
Intouchables,2011
Modern Times,1936
Nuovo cinema Paradiso,1988
Rear Window,1954
C'era una volta il West,1968
Alien,1979
City Lights,1931
Apocalypse Now,1979
Django Unchained,2012
Memento,2000
12th Fail,2023
WALL·E,2008
Raiders of the Lost Ark,1981
Das Leben der Anderen,2006
Sunset Blvd.,1950
Paths of Glory,1957
Avengers: Infinity War,2018
Spider-Man: Into the Spider-Verse,2018
The Shining,1980
Witness for the Prosecution,1957
The Great Dictator,1940
Aliens,1986
Inglourious Basterds,2009
The Dark Knight Rises,2012
American Beauty,1999
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Oldeuboi,2003
Oppenheimer,2023
Coco,2017
Amadeus,1984
Toy Story,1995
Das Boot,1981
Braveheart,1995
Avengers: Endgame,2019
Joker,2019
Mononoke-hime,1997
Good Will Hunting,1997
Kimi no na wa,2016
Once Upon a Time in America,1984
3 Idiots,2009
Tengoku to jigoku,1963
Singin' in the Rain,1952
Capharnaüm,2018
Requiem for a Dream,2000
Idi i smotri,1985
Toy Story 3,2010
Star Wars: Episode VI - Return of the Jedi,1983
Eternal Sunshine of the Spotless Mind,2004
Jagten,2012
2001: A Space Odyssey,1968
Reservoir Dogs,1992
Ikiru,1952
Lawrence of Arabia,1962
The Apartment,1960
Citizen Kane,1941
North by Northwest,1959
M,1931
Vertigo,1958
Double Indemnity,1944
Scarface,1983
Le fabuleux destin d'Amélie Poulain,2001
Full Metal Jacket,1987
Incendies,2010
A Clockwork Orange,1971
Heat,1995
Up,2009
To Kill a Mockingbird,1962
The Sting,1973
Jodaeiye Nader az Simin,2011
Indiana Jones and the Last Crusade,1989
Hamilton,2020
Die Hard,1988
Metropolis,1927
Taare Zameen Par,2007
Snatch.,2000
Ladri di biciclette,1948
L.A. Confidential,1997
1917,2019
Taxi Driver,1976
Der Untergang,2004
Dangal,2016
Per qualche dollaro in più,1965
Batman Begins,2005
Some Like It Hot,1959
The Wolf of Wall Street,2013
The Kid,1921
Top Gun: Maverick,2022
Green Book,2018
The Father,2020
All About Eve,1950
Judgment at Nuremberg,1961
The Truman Show,1998
There Will Be Blood,2007
Shutter Island,2010
Casino,1995
Ran,1985
Poor Things,2023
Jurassic Park,1993
El Laberinto del fauno,2006
The Sixth Sense,1999
Unforgiven,1992
A Beautiful Mind,2001
No Country for Old Men,2007
The Treasure of the Sierra Madre,1948
Yojimbo,1961
The Thing,1982
Kill Bill: Vol. 1,2003
Monty Python and the Holy Grail,1975
The Great Escape,1963
Finding Nemo,2003
Rashômon,1950
The Elephant Man,1980
Chinatown,1974
Hauru no ugoku shiro,2004
Prisoners,2013
Dial M for Murder,1954
Gone with the Wind,1939
V for Vendetta,2005
"Lock, Stock and Two Smoking Barrels",1998
El secreto de sus ojos,2009
Raging Bull,1980
Inside Out,2015
"Three Billboards Outside Ebbing, Missouri",2017
Spider-Man: No Way Home,2021
Trainspotting,1996
The Bridge on the River Kwai,1957
Gojira -1.0,2023
Fargo,1996
Warrior,2011
Klaus,2019
Catch Me If You Can,2002
Gran Torino,2008
Tonari no Totoro,1988
Million Dollar Baby,2004
Harry Potter and the Deathly Hallows: Part 2,2011
Bacheha-Ye aseman,1997
Blade Runner,1982
12 Years a Slave,2013
Before Sunrise,1995
The Grand Budapest Hotel,2014
Ben-Hur,1959
Barry Lyndon,1975
Gone Girl,2014
The Gold Rush,1925
Hacksaw Ridge,2016
In the Name of the Father,1993
Salinui chueok,2003
On the Waterfront,1954
The General,1926
The Deer Hunter,1978
Dead Poets Society,1989
Relatos salvajes,2014
Mad Max: Fury Road,2015
Smultronstället,1957
The Third Man,1949
Sherlock Jr.,1924
Le Salaire de la peur,1953
"Monsters, Inc.",2001
Jaws,1975
Mr. Smith Goes to Washington,1939
How to Train Your Dragon,2010
Mary and Max,2009
Ford v Ferrari,2019
Ratatouille,2007
Det Sjunde inseglet,1957
Room,2015
The Big Lebowski,1998
Tôkyô monogatari,1953
Rocky,1976
Hotel Rwanda,2004
Logan,2017
Spotlight,2015
Platoon,1986
La Passion de Jeanne d'Arc,1928
The Terminator,1984
Jai Bhim,2021
Before Sunset,2004
Rush,2013
The Best Years of Our Lives,1946
La Haine,1995
Network,1976
The Exorcist,1973
Stand by Me,1986
Pirates of the Caribbean: The Curse of the Black Pearl,2003
The Wizard of Oz,1939
The Incredibles,2004
Into the Wild,2007
Hachi: A Dog's Tale,2009
Ah-ga-ssi,2016
To Be or Not to Be,1942
La battaglia di Algeri,1966
Babam Ve Oglum,2005
The Grapes of Wrath,1940
Groundhog Day,1993
The Sound of Music,1965
Amores perros,2000
Rebecca,1940
Cool Hand Luke,1967
The Iron Giant,1999
The Help,2011
It Happened One Night,1934
Les Quatre cents coups,1959
Pather Panchali,1955
Aladdin,1992
